""	"Jude Bellingham"	"22"	"176"	"188"	"İngiltere,İrlanda Cumhuriyeti"	"R. Madrid"	"£159.102.944"	"M/AM LC"	"78,52"	"82,98"
""	"Luis Suárez"	"38"	"132"	"188"	"Uruguay,İtalya"	"Inter Miami CF"	"£300.000.000"	"ST "	"66,38"	"66,38"
""	"Ousmane Dembélé"	"28"	"186"	"188"	"Fransa,Moritanya"	"Paris Saint-Germain"	"£165.112.160"	"AM/ST RL"	"76,19"	"76,19"
""	"Florian Wirtz"	"22"	"172"	"188"	"Almanya"	"Liverpool"	"£200.426.400"	"M/AM RLC"	"78,83"	"84,87"
""	"Mohamed Salah"	"33"	"178"	"187"	"Mısır"	"Liverpool"	"£300.000.000"	"AM/ST RL"	"79,48"	"79,48"
""	"Virgil van Dijk"	"34"	"177"	"185"	"Hollanda,Surinam"	"Liverpool"	"£300.000.000"	"D C"	"81,93"	"81,93"
""	"Pedri"	"22"	"175"	"185"	"İspanya"	"Barcelona"	"£162.455.680"	"DM/M C"	"77,55"	"81,32"
""	"Karim Benzema"	"37"	"149"	"185"	"Fransa,Cezayir"	"Al-Hilal Saudi Football Club"	"£300.000.000"	"ST "	"71,67"	"71,67"
""	"Jamal Musiala"	"22"	"164"	"185"	"Almanya,İngiltere,Nijerya"	"FC Bayern München"	"£150.615.024"	"AM RLC"	"75,48"	"81,89"
""	"Sadio Mané"	"33"	"143"	"185"	"Senegal"	"Al-Nassr Football Club"	"£14.682.741"	"AM RL"	"69,57"	"69,57"
""	"Moisés Caicedo"	"23"	"170"	"185"	"Ekvador"	"Chelsea"	"£176.230.896"	"DM/M C"	"77,71"	"82,8"
""	"William Saliba"	"24"	"177"	"184"	"Fransa,Kamerun,Lübnan"	"Arsenal"	"£105.121.333"	"D C"	"79,85"	"82,59"
""	"Declan Rice"	"26"	"182"	"184"	"İngiltere,İrlanda Cumhuriyeti"	"Arsenal"	"£133.650.000"	"DM/M C"	"77,85"	"78,36"
""	"Marc-André ter Stegen"	"33"	"150"	"183"	"Almanya"	"Barcelona"	"£22.063.660"	"GK "	"66"	"66"
""	"Joshua Kimmich"	"30"	"179"	"183"	"Almanya"	"FC Bayern München"	"£119.661.680"	"D/DM/M RC"	"76,7"	"76,7"
""	"Alisson"	"33"	"175"	"182"	"Brezilya"	"Liverpool"	"£300.000.000"	"GK "	"77,06"	"77,06"
""	"Thibaut Courtois"	"33"	"180"	"181"	"Belçika"	"R. Madrid"	"£35.208.416"	"GK "	"79,22"	"79,22"
""	"Nico Paz"	"21"	"156"	"181"	"Arjantin,İspanya"	"Como 1907"	"£85.923.760"	"AM/ST C"	"72,17"	"81,59"
""	"Lucas Bergvall"	"19"	"146"	"181"	"İsveç"	"Tottenham Hotspur"	"£59.000.000"	"M/AM C"	"69,2"	"82,42"
""	"Franco Mastantuono"	"18"	"132"	"181"	"Arjantin,İtalya"	"R. Madrid"	"£96.229.420"	"AM RC"	"65,8"	"82,73"
""	"Frenkie de Jong"	"28"	"165"	"180"	"Hollanda"	"Barcelona"	"£60.711.148"	"DM/M C"	"76,15"	"76,15"
""	"Luka Modrić"	"40"	"160"	"180"	"Hırvatistan"	"Casciavit Milano"	"£6.193.905"	"DM/M C"	"75,21"	"75,21"
""	"Nani"	"38"	"97"	"180"	"Portekiz,Yeşil Burun Adaları"	"FK Aqtöbe"	"£30.894"	"AM RLC"	"56,59"	"56,59"
""	"Antoine Griezmann"	"34"	"152"	"180"	"Fransa,Portekiz,Bask Bölgesi"	"A. Madrid"	"£300.000.000"	"AM/ST RLC"	"71,62"	"71,62"
""	"Isco"	"33"	"156"	"180"	"İspanya"	"Real Hispalis"	"£300.000.000"	"M/AM RLC"	"71,35"	"71,35"
""	"Mario Balotelli"	"35"	"113"	"180"	"İtalya,Gana"	"Al-Ittifaq Football Club"	"£239.258"	"ST "	"59,52"	"59,52"
""	"Rodri"	"29"	"180"	"180"	"İspanya"	"Manchester City"	"£133.650.000"	"DM C"	"78,04"	"78,04"
""	"Julián Álvarez"	"25"	"171"	"180"	"Arjantin,İtalya"	"A. Madrid"	"£131.251.408"	"AM/ST RLC"	"74,1"	"75,77"
""	"Wesley Fofana"	"24"	"160"	"180"	"Fransa,Mali,Fildişi Sahilleri"	"Chelsea"	"£94.174.357"	"D C"	"72,48"	"79,72"
""	"Joško Gvardiol"	"23"	"159"	"180"	"Hırvatistan"	"Manchester City"	"£107.622.917"	"D LC"	"73,18"	"81,71"
""	"Eduardo Camavinga"	"22"	"165"	"180"	"Fransa,Kongo Demokratik Cumhuriyeti,Angola"	"R. Madrid"	"£86.606.480"	"DM/M LC"	"75,19"	"81,45"
""	"Raheem Sterling"	"30"	"138"	"180"	"İngiltere,Jamaika"	"Feyenoord Rotterdam"	"£18.873.142"	"M/AM RL"	"69,01"	"69,01"
""	"Phil Foden"	"25"	"170"	"180"	"İngiltere"	"Manchester City"	"£85.008.000"	"M/AM RLC"	"76,97"	"78,9"
""	"Michael Olise"	"23"	"176"	"180"	"Fransa,İngiltere,Nijerya"	"FC Bayern München"	"£207.656.944"	"M/AM RC"	"78,98"	"80,3"
""	"Martin Ødegaard"	"26"	"177"	"180"	"Norveç"	"Arsenal"	"£119.704.752"	"M/AM C"	"80,5"	"80,9"
""	"Bernardo Silva"	"31"	"163"	"180"	"Portekiz"	"Manchester City"	"£300.000.000"	"M/AM RC"	"77,72"	"77,72"
""	"Ederson"	"32"	"161"	"180"	"Brezilya,Portekiz"	"Fenerbahçe A.Ş."	"£300.000.000"	"GK "	"70,22"	"70,22"
""	"Vitinha"	"25"	"179"	"180"	"Portekiz"	"Paris Saint-Germain"	"£137.699.024"	"DM/M C"	"77,7"	"77,9"
""	"Nuno Mendes"	"23"	"168"	"180"	"Portekiz,Yeşil Burun Adaları"	"Paris Saint-Germain"	"£130.131.400"	"D/WB L"	"73,4"	"77,07"
""	"Kai Havertz"	"26"	"158"	"180"	"Almanya"	"Arsenal"	"£75.925.000"	"M/AM/ST C"	"72,85"	"75,52"
""	"Alexander Isak"	"26"	"170"	"180"	"İsveç,Eritre"	"Liverpool"	"£223.928.816"	"AM/ST L"	"78,33"	"78,99"
""	"Achraf Hakimi"	"26"	"177"	"179"	"Fas,İspanya"	"Paris Saint-Germain"	"£126.359.992"	"D/WB R"	"76,51"	"76,77"
""	"Ben Gannon Doak"	"19"	"138"	"179"	"İskoçya"	"AFC Bournemouth"	"£46.020.000"	"AM RL"	"65,94"	"80,63"
""	"Estêvão"	"18"	"141"	"179"	"Brezilya"	"Chelsea"	"£69.875.664"	"AM RLC"	"68,87"	"82,34"
""	"David De Gea"	"34"	"146"	"178"	"İspanya"	"ACF Fiorentina"	"£300.000.000"	"GK "	"68,78"	"68,78"
""	"Rodrygo"	"24"	"167"	"178"	"Brezilya,İspanya"	"R. Madrid"	"£99.682.176"	"AM/ST RL"	"75,19"	"77,28"
""	"Jan Oblak"	"32"	"164"	"178"	"Slovenya"	"A. Madrid"	"£300.000.000"	"GK "	"73,89"	"73,89"
""	"Désiré Doué"	"20"	"164"	"178"	"Fransa,Fildişi Sahilleri"	"Paris Saint-Germain"	"£196.867.648"	"M/AM RLC"	"70,81"	"76,38"
""	"Raphinha"	"28"	"176"	"177"	"Brezilya,İtalya"	"Barcelona"	"£69.136.544"	"M/AM RLC"	"76,6"	"76,6"
""	"Paulo Dybala"	"31"	"149"	"177"	"Arjantin,Polonya,İtalya"	"Associazione Sportiva Roma"	"£11.813.015"	"AM/ST RC"	"71,76"	"71,76"
""	"Jadon Sancho"	"25"	"147"	"177"	"İngiltere,Trinidad ve Tobago,Jamaika"	"Manchester United"	"£46.430.000"	"AM RLC"	"71,19"	"76,61"
""	"Rúben Dias"	"28"	"169"	"177"	"Portekiz"	"Manchester City"	"£89.375.000"	"D C"	"78,07"	"79,13"
""	"Dean Huijsen"	"20"	"140"	"177"	"İspanya,Hollanda"	"R. Madrid"	"£96.229.420"	"D C"	"65,99"	"79,57"
""	"Radamel Falcao"	"39"	"118"	"176"	"Kolombiya"	"Azul y Blanco Millonarios Fútbol Club S. A."	"£88.803"	"ST "	"62,38"	"62,38"
""	"Bruno Fernandes"	"31"	"174"	"176"	"Portekiz"	"Manchester United"	"£300.000.000"	"DM/M/AM C"	"76,59"	"76,59"
""	"Arturo Vidal"	"38"	"110"	"176"	"Şili"	"Colo Colo"	"£41.182"	"DM/M C"	"65,35"	"65,35"
""	"Federico Valverde"	"27"	"175"	"176"	"Uruguay,İspanya"	"R. Madrid"	"£103.223.888"	"DM/M RC"	"74,86"	"75,05"
""	"Paul Pogba"	"32"	"127"	"176"	"Fransa,Gine"	"AS Monaco"	"£1.387.031"	"M LC"	"65,71"	"65,71"
""	"Jorrel Hato"	"19"	"142"	"176"	"Hollanda,Curaçao,Yeşil Burun Adaları"	"Chelsea"	"£59.752.866"	"D/WB LC"	"65,69"	"78,38"
""	"Micky van de Ven"	"24"	"157"	"175"	"Hollanda"	"Tottenham Hotspur"	"£67.870.600"	"D/WB LC"	"72,87"	"79,25"
""	"Jérémy Doku"	"23"	"166"	"175"	"Belçika,Gana"	"Manchester City"	"£90.328.000"	"AM/ST RL"	"70,99"	"73,73"
""	"Oscar"	"34"	"134"	"175"	"Brezilya"	"SPO"	"£300.000.000"	"M/AM RLC"	"64,19"	"64,19"
""	"Philippe Coutinho"	"33"	"138"	"175"	"Brezilya,Portekiz"	"VDG"	"£2.355.367"	"AM LC"	"67,1"	"67,1"
""	"Ansu Fati"	"22"	"135"	"175"	"İspanya,Gine-Bissau"	"Barcelona"	"£43.063.422"	"AM/ST LC"	"67,14"	"78,88"
""	"Roberto Firmino"	"34"	"135"	"175"	"Brezilya"	"Al-Sadd Sports Club"	"£300.000.000"	"AM/ST RC"	"69,3"	"69,3"
""	"Joan García"	"24"	"162"	"175"	"İspanya"	"Barcelona"	"£48.158.492"	"GK "	"72,17"	"77,47"
""	"Dejan Kulusevski"	"25"	"164"	"175"	"İsveç,Kuzey Makedonya"	"Tottenham Hotspur"	"£65.450.000"	"M/AM RC"	"73,59"	"75,67"
""	"Gabriel Jesus"	"28"	"153"	"175"	"Brezilya"	"Arsenal"	"£50.400.000"	"AM/ST RL"	"71,57"	"71,57"
""	"Warren Zaïre-Emery"	"19"	"154"	"175"	"Fransa"	"Paris Saint-Germain"	"£83.938.672"	"D/WB/DM/M RC"	"70,09"	"78,5"
""	"Lautaro Martínez"	"28"	"170"	"175"	"Arjantin"	"Blu-neri Milano"	"£121.065.000"	"ST "	"75,1"	"75,1"
""	"Jules Koundé"	"26"	"160"	"175"	"Fransa,Benin"	"Barcelona"	"£59.211.936"	"D/WB RC"	"72,3"	"75,96"
""	"Alexis Sánchez"	"36"	"127"	"175"	"Şili"	"Sevilla"	"£804.516"	"AM/ST RL"	"65,53"	"65,53"
""	"Jack Grealish"	"30"	"150"	"175"	"İngiltere,İrlanda Cumhuriyeti"	"Manchester City"	"£34.991.000"	"M/AM RLC"	"67,92"	"67,92"
""	"Liam Delap"	"22"	"141"	"175"	"İngiltere,İrlanda Cumhuriyeti"	"Chelsea"	"£56.007.334"	"AM/ST R"	"67,1"	"76,87"
""	"Ronald Araujo"	"26"	"150"	"175"	"Uruguay,İspanya"	"Barcelona"	"£31.024.332"	"D C"	"75,25"	"81,7"
""	"Rodrigo Mora"	"18"	"131"	"175"	"Portekiz"	"Futebol Clube do Porto"	"£96.791.157"	"M/AM LC"	"66,95"	"83,53"
""	"Juan Mata"	"37"	"106"	"174"	"İspanya"	"Melbourne Victory Football Club"	"£60.220"	"AM C"	"62,26"	"62,26"
""	"Enzo Fernández"	"24"	"168"	"174"	"Arjantin"	"Chelsea"	"£124.659.000"	"DM/M C"	"74,65"	"76,19"
""	"Mauro Icardi"	"32"	"136"	"174"	"Arjantin,İtalya"	"Galatasaray A.Ş."	"£6.386.745"	"AM/ST C"	"66,19"	"66,19"
""	"David Alaba"	"33"	"147"	"174"	"Avusturya,Filipinler,Nijerya"	"R. Madrid"	"£2.811.835"	"D/WB LC"	"68,33"	"68,33"
""	"Sergio Ramos"	"39"	"143"	"174"	"İspanya"	"Olympique de Marseille"	"£3.923.058"	"D C"	"71,14"	"71,14"
""	"João Neves"	"21"	"167"	"174"	"Portekiz"	"Paris Saint-Germain"	"£87.748.098"	"DM/M C"	"73,83"	"76,8"
""	"Thiago Silva"	"41"	"140"	"174"	"Brezilya,Fransa"	"Futebol Clube do Porto"	"£1.779.372"	"D C"	"72,18"	"72,18"
""	"Gabriel"	"27"	"170"	"174"	"Brezilya"	"Arsenal"	"£87.750.000"	"D C"	"80,69"	"81,53"
""	"Ángel Di María"	"37"	"136"	"174"	"Arjantin,İtalya"	"Club Atlético Rosario Central"	"£916.026"	"AM RLC"	"70,06"	"70,06"
""	"Rayan Cherki"	"22"	"163"	"174"	"Fransa,Cezayir,İtalya"	"Manchester City"	"£86.314.997"	"AM/ST RLC"	"69,66"	"73,62"
""	"Hugo Ekitiké"	"23"	"160"	"174"	"Fransa,Kamerun"	"Liverpool"	"£86.164.666"	"AM/ST L"	"73,62"	"77,17"
""	"Trent Alexander-Arnold"	"26"	"161"	"174"	"İngiltere"	"R. Madrid"	"£53.311.584"	"D/WB/DM RC"	"72,92"	"74,56"
""	"Adam Wharton"	"21"	"147"	"174"	"İngiltere"	"Crystal Palace"	"£63.788.067"	"DM/M C"	"68,6"	"79,25"
""	"Thomas Müller"	"36"	"145"	"174"	"Almanya"	"Vancouver Whitecaps FC"	"£300.000.000"	"AM/ST RC"	"69,31"	"69,31"
""	"Khvicha Kvaratskhelia"	"24"	"166"	"174"	"Gürcistan"	"Paris Saint-Germain"	"£85.134.360"	"AM LC"	"75,05"	"76,6"
""	"Edinson Cavani"	"38"	"120"	"174"	"Uruguay,İtalya,Arjantin"	"Club Atlético Boca Juniors"	"£761.064"	"ST "	"62,38"	"62,38"
""	"Pablo Barrios"	"22"	"157"	"174"	"İspanya"	"A. Madrid"	"£112.800.587"	"DM/M C"	"71,39"	"77,66"
""	"Dastan Sätpayev"	"17"	"115"	"174"	"Kazakistan"	"Qaırat Almaty"	"£3.456.827"	"M/AM/ST RL"	"61,76"	"82,66"
""	"Matthijs de Ligt"	"26"	"157"	"173"	"Hollanda"	"Manchester United"	"£79.254.448"	"D C"	"76,14"	"80,36"
""	"Francesco Pio Esposito"	"20"	"142"	"173"	"İtalya"	"Blu-neri Milano"	"£47.790.634"	"ST "	"68,52"	"80,8"
""	"Miloš Kerkez"	"21"	"153"	"173"	"Macaristan,Sırbistan"	"Liverpool"	"£74.545.730"	"D/WB L"	"71,17"	"79,4"
""	"Abdukodir Khusanov"	"21"	"150"	"173"	"Özbekistan"	"Manchester City"	"£66.713.334"	"D RC"	"71,58"	"81,1"
""	"Destiny Udogie"	"22"	"147"	"173"	"İtalya,Nijerya"	"Tottenham Hotspur"	"£55.521.933"	"D/WB L"	"68,77"	"78,48"
""	"Marcus Rashford"	"27"	"156"	"173"	"İngiltere"	"Manchester United"	"£64.900.000"	"AM RL"	"72,24"	"72,24"
""	"Reece James"	"25"	"173"	"173"	"İngiltere"	"Chelsea"	"£97.200.000"	"D/WB RC"	"74,65"	"74,65"
""	"Cole Palmer"	"23"	"173"	"173"	"İngiltere,Saint Kitts ve Nevis"	"Chelsea"	"£213.451.232"	"AM RLC"	"77,71"	"77,71"
""	"Kennet Eichhorn"	"16"	"114"	"173"	"Almanya"	"Hertha BSC"	"£8.228.977"	"DM/M C"	"61,36"	"82,22"
""	"Heung-Min Son"	"33"	"150"	"173"	"Güney Kore"	"Los Angeles Football Club"	"£300.000.000"	"AM/ST L"	"69,05"	"69,05"
""	"Arda Güler"	"20"	"149"	"173"	"Türkiye"	"R. Madrid"	"£96.229.420"	"M/AM RC"	"71,31"	"81,01"
""	"Myles Lewis-Skelly"	"19"	"146"	"172"	"İngiltere,Barbados"	"Arsenal"	"£56.947.534"	"D/DM/M LC"	"68,7"	"79,08"
""	"Douglas Costa"	"35"	"123"	"172"	"Brezilya"	"ChievoVerona"	"£141.558"	"AM RLC"	"63,3"	"63,3"
""	"Aleksandar Pavlović"	"21"	"150"	"172"	"Almanya,Sırbistan"	"FC Bayern München"	"£63.605.619"	"DM/M C"	"68,71"	"77,5"
""	"Aurélien Tchouaméni"	"25"	"167"	"172"	"Fransa,Kamerun"	"R. Madrid"	"£62.501.796"	"DM C"	"76,5"	"78,16"
""	"Mateo Kovačić"	"31"	"150"	"172"	"Hırvatistan,Avusturya"	"Manchester City"	"£36.928.504"	"DM/M C"	"72,04"	"72,04"
""	"Mateus Fernandes"	"21"	"139"	"172"	"Portekiz"	"West Ham United"	"£55.890.768"	"M/AM C"	"68,95"	"82,18"
""	"Christopher Nkunku"	"27"	"153"	"172"	"Fransa,Kongo Demokratik Cumhuriyeti"	"Casciavit Milano"	"£47.868.848"	"AM/ST RLC"	"72,1"	"72,1"
""	"Leroy Sané"	"29"	"155"	"172"	"Almanya,Fransa,Senegal"	"Galatasaray A.Ş."	"£43.777.536"	"AM RLC"	"70,76"	"70,76"
""	"Endrick"	"19"	"142"	"172"	"Brezilya"	"R. Madrid"	"£96.229.420"	"ST R"	"69,38"	"81,48"
""	"Sergio Busquets"	"37"	"135"	"171"	"İspanya"	""	"£0"	"DM/M C"	"65,99"	"65,99"
""	"Nico Williams"	"23"	"163"	"171"	"İspanya,Gana,Bask Bölgesi"	"A. Bilbao"	"£82.099.640"	"M/AM RL"	"72,68"	"75,23"
""	"Sandro Tonali"	"25"	"167"	"171"	"İtalya"	"Newcastle United"	"£81.593.600"	"DM/M C"	"74,67"	"75,98"
""	"Mario Götze"	"33"	"138"	"171"	"Almanya"	"Eintracht Frankfurt"	"£2.172.414"	"M/AM RLC"	"67,23"	"67,23"
""	"Willian Pacho"	"23"	"162"	"171"	"Ekvador"	"Paris Saint-Germain"	"£114.136.064"	"D LC"	"76,88"	"80,93"
""	"Ayyoub Bouaddi"	"18"	"130"	"171"	"Fransa,Fas"	"LOSC Lille"	"£75.185.988"	"DM/M C"	"65,98"	"81,8"
""	"Rio Ngumoha"	"17"	"128"	"171"	"İngiltere,Nijerya"	"Liverpool"	"£27.140.000"	"AM RL"	"63,63"	"79,49"
""	"Jari Litmanen"	"54"	"63"	"170"	"Finlandiya"	"JK Tallinna Kalev Juunior"	"£0"	"AM C"	"50,33"	"50,33"
""	"Tom Bischof"	"20"	"143"	"170"	"Almanya"	"FC Bayern München"	"£38.889.304"	"DM/M/AM C"	"66,5"	"77,06"
""	"Dayot Upamecano"	"26"	"165"	"170"	"Fransa,Gine-Bissau"	"FC Bayern München"	"£91.459.000"	"D C"	"77,87"	"79,25"
""	"Dominik Szoboszlai"	"24"	"160"	"170"	"Macaristan"	"Liverpool"	"£61.337.334"	"DM/M/AM RC"	"73,89"	"76,5"
""	"Pierre-Emerick Aubameyang"	"36"	"137"	"170"	"Gabon,Fransa"	"Olympique de Marseille"	"£662.872"	"ST "	"68,29"	"68,29"
""	"Romelu Lukaku"	"32"	"157"	"170"	"Belçika,Kongo Demokratik Cumhuriyeti"	"Parthenope"	"£300.000.000"	"ST "	"70,95"	"70,95"
""	"Carlos Baleba"	"21"	"144"	"170"	"Kamerun"	"Brighton & Hove Albion"	"£47.870.333"	"DM/M C"	"69,53"	"80,17"
""	"Casemiro"	"33"	"145"	"170"	"Brezilya,İspanya"	"Manchester United"	"£10.438.559"	"DM/M C"	"74,31"	"74,31"
""	"Álex Baena"	"24"	"160"	"170"	"İspanya"	"A. Madrid"	"£72.767.568"	"M/AM RLC"	"69,83"	"72,3"
""	"Xavi Simons"	"22"	"154"	"170"	"Hollanda,İspanya,Surinam"	"Tottenham Hotspur"	"£79.056.334"	"M/AM RLC"	"71,64"	"77,71"
""	"Gianluigi Donnarumma"	"26"	"170"	"170"	"İtalya"	"Manchester City"	"£88.866.120"	"GK "	"77,17"	"77,17"
""	"Alejandro Balde"	"21"	"154"	"170"	"İspanya,Gine-Bissau,Dominik Cumhuriyeti"	"Barcelona"	"£86.645.368"	"D/WB L"	"70,66"	"77,31"
""	"Hugo Lloris"	"38"	"131"	"170"	"Fransa,Amerika Birleşik Devletleri"	"Los Angeles Football Club"	"£300.000.000"	"GK "	"67,17"	"67,17"
""	"Miralem Pjanić"	"35"	"114"	"170"	"Bosna Hersek,Lüksemburg,Fransa"	""	"£0"	"DM/M C"	"59,64"	"59,64"
""	"Fabinho"	"31"	"140"	"170"	"Brezilya"	"SEP"	"£300.000.000"	"DM/M C"	"72,18"	"72,18"
""	"Victor Osimhen"	"26"	"160"	"170"	"Nijerya"	"Galatasaray A.Ş."	"£120.170.768"	"ST "	"73,57"	"74,22"
""	"Alejandro Garnacho"	"21"	"145"	"170"	"Arjantin,İspanya"	"Chelsea"	"£69.812.662"	"AM RL"	"66,93"	"76,78"
""	"Archie Gray"	"19"	"137"	"170"	"İngiltere,İskoçya"	"Tottenham Hotspur"	"£47.784.334"	"D/DM/M RC"	"67,07"	"80,09"
""	"Bruno Guimarães"	"27"	"168"	"170"	"Brezilya,İspanya"	"Newcastle United"	"£91.975.200"	"DM/M C"	"77,47"	"77,61"
""	"Mykhaylo Mudryk"	"24"	"139"	"170"	"Ukrayna"	"Chelsea"	"£47.655.666"	"AM RLC"	"63,77"	"70,75"
""	"Gabriel Martinelli"	"24"	"158"	"170"	"Brezilya,İtalya"	"Arsenal"	"£79.537.334"	"AM RL"	"71,86"	"74,14"
""	"Alphonso Davies"	"24"	"158"	"170"	"Kanada,Liberya,Gana,Almanya"	"FC Bayern München"	"£90.482.304"	"D/WB L"	"69,67"	"72,62"
""	"Marcus Thuram"	"28"	"167"	"170"	"Fransa,Guadeloupe"	"Blu-neri Milano"	"£105.028.888"	"ST L"	"76,43"	"76,43"
""	"Ibrahima Konaté"	"26"	"159"	"170"	"Fransa,Mali"	"Liverpool"	"£55.476.000"	"D C"	"76,24"	"79,2"
""	"Yankuba Minteh"	"21"	"145"	"170"	"Gambiya"	"Brighton & Hove Albion"	"£64.496.000"	"M/AM RL"	"68,4"	"78,45"
""	"Dani Olmo"	"27"	"161"	"170"	"İspanya"	"Barcelona"	"£57.330.608"	"M/AM/ST C"	"72,86"	"73,44"
""	"Castello Lukeba"	"22"	"150"	"170"	"Fransa,Angola"	"RB Leipzig"	"£69.136.544"	"D LC"	"71,83"	"80,28"
""	"Christian Eriksen"	"33"	"148"	"170"	"Danimarka"	"VfL Wolfsburg"	"£300.000.000"	"DM/M/AM RLC"	"68,09"	"68,09"
""	"Gavi"	"21"	"156"	"170"	"İspanya"	"Barcelona"	"£96.272.632"	"DM/M/AM C"	"71,19"	"77,05"
""	"Wojciech Szczęsny"	"35"	"149"	"170"	"Polonya"	"Barcelona"	"£8.214.334"	"GK "	"72,33"	"72,33"
""	"John Stones"	"31"	"160"	"170"	"İngiltere"	"Manchester City"	"£20.739.184"	"D/DM RC"	"74,95"	"74,95"
""	"Anthony Gordon"	"24"	"159"	"170"	"İngiltere,İrlanda Cumhuriyeti,İskoçya"	"Newcastle United"	"£82.056.667"	"AM RL"	"73,77"	"76,64"
""	"Morgan Rogers"	"23"	"156"	"170"	"İngiltere"	"Aston Villa"	"£71.605.334"	"AM/ST RLC"	"69,76"	"73,52"
""	"Tino Livramento"	"22"	"153"	"170"	"İngiltere,Portekiz,İskoçya"	"Newcastle United"	"£72.427.334"	"D/WB RL"	"68,87"	"75,62"
""	"Levi Colwill"	"22"	"155"	"170"	"İngiltere"	"Chelsea"	"£94.218.336"	"D LC"	"72,57"	"78,98"
""	"Scott McTominay"	"28"	"164"	"170"	"İskoçya,İngiltere"	"Parthenope"	"£97.536.816"	"DM/M/AM LC"	"76,53"	"77,35"
""	"Luis Díaz"	"28"	"165"	"170"	"Kolombiya"	"FC Bayern München"	"£101.837.400"	"M/AM RL"	"75,14"	"75,14"
""	"João Cancelo"	"31"	"145"	"170"	"Portekiz"	"Al-Hilal Saudi Football Club"	"£41.223.060"	"D/WB RL"	"70,09"	"70,09"
""	"Giorgi Mamardashvili"	"25"	"156"	"170"	"Gürcistan"	"Liverpool"	"£37.941.748"	"GK "	"73,78"	"79,8"
""	"Sergej Milinković-Savić"	"30"	"155"	"170"	"Sırbistan,İspanya"	"Al-Hilal Saudi Football Club"	"£65.414.144"	"DM/M/AM C"	"71,38"	"71,38"
""	"Benjamin Šeško"	"22"	"148"	"170"	"Slovenya,Bosna Hersek"	"Manchester United"	"£67.533.000"	"ST "	"68,76"	"75,44"
""	"Kalidou Koulibaly"	"34"	"150"	"170"	"Senegal,Fransa"	"Al-Hilal Saudi Football Club"	"£8.657.755"	"D C"	"77,13"	"77,13"
""	"N'Golo Kanté"	"34"	"149"	"170"	"Fransa,Mali"	"Fenerbahçe A.Ş."	"£300.000.000"	"DM/M C"	"71,17"	"71,17"
""	"Aymeric Laporte"	"31"	"144"	"170"	"İspanya,Fransa,Bask Bölgesi"	"A. Bilbao"	"£300.000.000"	"D C"	"72,18"	"72,18"
""	"Kingsley Coman"	"29"	"151"	"170"	"Fransa,Gine,Guadeloupe"	"Al-Nassr Football Club"	"£52.720.804"	"AM RL"	"68,63"	"68,63"
""	"Marco Reus"	"36"	"142"	"170"	"Almanya"	"LA Galaxy"	"£300.000.000"	"M/AM RLC"	"67,28"	"67,28"
""	"Leon Goretzka"	"30"	"153"	"170"	"Almanya"	"FC Bayern München"	"£13.839.883"	"DM/M C"	"72,67"	"72,67"
""	"Ryan Gravenberch"	"23"	"160"	"169"	"Hollanda,Surinam"	"Liverpool"	"£57.545.102"	"DM/M/AM C"	"72,39"	"75,28"
""	"Filip Jörgensen"	"23"	"144"	"169"	"İsveç,Danimarka"	"Chelsea"	"£30.631.667"	"GK "	"69,33"	"79,47"
